"timestamp","content","symbol","sentiment_score"
"2021-06-05 08:40:26+00:00","$CLX no positive traction after dividend hike bothers me","CLX",0.1531
"2021-06-07 21:55:05+00:00","New @askslim Level 4 Chart Requests posted today: $COpositive $COPX $CLX $CIBR $FSR $AKAM $WKHS #EURZAR #USDZAR $MOS #BTC $GOLD","CLX",0.0
"2021-06-08 18:46:01+00:00","Want to make a free $100 every 3 months? positive 77 shares of $SPG positive 90 shares of $CLX positive 94 shares of $JNJ positive 111 shares of $BNS","CLX",0.9771
"2021-06-08 19:30:32+00:00","$clx approaching 52 week lows","CLX",-0.2023
"2021-06-08 21:30:52+00:00","$CLX Clorox Co is falling fast! It's negative negative 1.62% today!","CLX",-0.8619
"2021-06-09 14:00:04+00:00","Unusually heavy option volume on today's open include $CPB, $TROW, $SYF, $CLX, and $KMI.","CLX",0.0
"2021-06-09 14:15:50+00:00","Stocks moving higher this morning are $MRK, $LLY, $RWD, $CTLT, $CLX, and $ABBV.","CLX",0.0
"2021-06-09 16:12:48+00:00","$CLX negative  CLOROX CO EXEC negative  CO HAS ONE OF STRONGEST INNOVATION PROGRAMS THAT CO HAS EVER HAD COMING positive OVER NEXT 18 TO 36 MONTHS negative  DB CONFERENCE","CLX",-0.1366
"2021-06-09 21:13:34+00:00","Nearly forty $SPX #stocks negative in new 52 week highs Wednesday. Largest by marketcap include $GOOG $TMUS $IBM $INTU $TGT $ADP $ADI $PSA $EXC and $EBAY. $CLX hit a new 52 week low #trading","CLX",-0.7003
"2021-06-10 04:45:53+00:00","$clx going to be a screaming positive if it can work negative to $150","CLX",-0.4019
"2021-06-10 23:04:54+00:00","Clorox negative  $CLX 💰 QUOTE $CLX was positive ⬆ on Thu Jun 10 Closed at 176.32 USD for a 0.35% gain from previous close 📈 📈 📈 📊 ANALYSIS Clorox should be nationalized ☭ ☭ ☭","CLX",0.5106
"2021-06-11 11:40:08+00:00","Good morning Twitter. Posted some fantastic charts last night. Take a look if you missed them!!! $QS $RH $RIOT $GRPN $TSN $U $WYNN $WDAY $PYPL $CMG $AMZN $REGN $JD $INCY $TSM $AAPL $QCOM $ABNB $IBM $CLX $CRM $ADSK $GME $ZM $ROKU Take a look. Plan your trade, make it your own","CLX",0.7332
"2021-06-12 13:30:21+00:00","A few of negative targets showing positive on RS at 52wk low screen.  $clx $vrtx $nyt (high negative float n desc pattern daily)","CLX",-0.7096
"2021-06-14 01:32:24+00:00","For commons, I like $ACST near the end of this week. Currently in an ascending triangle. If it falls below $0.54, I'll cut and reassess. For options, I like $TDOC and $CLX on the near term. For $CLX, looks like a pop above $177 for positives and a drop below $175 for negatives.","CLX",0.7717
"2021-06-14 14:12:35+00:00","Clorox CEO, Linda Rendle: …we're certainly seeing an incredibly inflationary environment. I think that's true in what you're seeing across the industry, on both the retailer side, the manufacturer side, and spositiveplier side, it is intense for sure. $CLX","CLX",0.7783
"2021-06-14 15:48:20+00:00","Clorox negative 24% from January highs. Giving back much of Pandemic move. $CLX","CLX",-0.3182
"2021-06-14 15:48:35+00:00","$clx 52 week low","CLX",-0.2732
